Round,FedMH,FedMH_incremental,FedAvg,FedAvg_incremental,FedSem_FT,FedSem_FT_incremental,FedMatch_FT,FedMatch_FT_incremental,FLwF,FLwF_incremental
1,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
2,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
3,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
4,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
5,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
6,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
7,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
8,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
9,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,1.0
10,0.06666666666666668,0.1,0.06666666666666668,0.6428571428571428,0.6333333333333333,0.6428571428571428,0.36651583710407243,0.7575757575757575,0.06666666666666668,0.7575757575757575
11,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.4473173884938591,0.6428571428571428,0.7111111111111111,0.6428571428571428
12,0.6333333333333333,0.3333333333333333,0.819047619047619,0.3333333333333333,0.6,0.3333333333333333,0.5092436974789916,0.6428571428571428,0.6333333333333333,0.6428571428571428
13,0.7111111111111111,0.3333333333333333,0.6,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7058823529411765,0.6428571428571428,0.7111111111111111,0.6428571428571428
14,0.6,0.3333333333333333,0.6,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7058823529411765,0.6428571428571428,0.7111111111111111,0.6428571428571428
15,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7058823529411765,0.6428571428571428,0.7111111111111111,0.6428571428571428
16,0.6,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.5853457172342622,0.6428571428571428,0.7111111111111111,0.6428571428571428
17,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7630718954248366,0.6428571428571428,0.7111111111111111,0.6428571428571428
18,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7058823529411765,0.6428571428571428,0.7111111111111111,0.6428571428571428
19,0.6,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7630718954248366,0.6428571428571428,0.7111111111111111,0.7999999999999999
20,0.6,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.8198142414860682,0.6428571428571428,0.7111111111111111,0.6428571428571428
21,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.5084033613445379,1.0,1.0,1.0
22,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.5084033613445379,1.0,1.0,1.0
23,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.5084033613445379,1.0,1.0,1.0
24,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.6280734516028632,1.0,1.0,1.0
25,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.6280734516028632,1.0,1.0,1.0
26,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.6280734516028632,1.0,1.0,1.0
27,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8047058823529412,1.0,1.0,1.0
28,1.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8047058823529412,1.0,1.0,1.0
29,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8047058823529412,1.0,1.0,1.0
30,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.6280734516028632,1.0,1.0,1.0
