Round,GCN_LSTM_FedMH,GCN_LSTM_FedMH_incremental,GCN_LSTM_FedAvg,GCN_LSTM_FedAvg_incremental,GCN_LSTM_FedSem_FT,GCN_LSTM_FedSem_FT_incremental,GCN_LSTM_FedMatch_FT,GCN_LSTM_FedMatch_FT_incremental,GCN_LSTM_FLwF,GCN_LSTM_FLwF_incremental
1,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.1841432225063938,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.2401960784313725,0.3333333333333333
2,0.4832820781260224,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.1841432225063938,0.3333333333333333,0.2401960784313725,0.3333333333333333,0.5600900647340277,0.3333333333333333
3,0.6117647058823531,0.3333333333333333,0.5866596638655462,0.3333333333333333,0.293287019557502,0.3333333333333333,0.5645335057099764,0.3333333333333333,0.618511094214419,0.3333333333333333
4,0.6369578134284016,0.3333333333333333,0.6118697478991597,0.3333333333333333,0.5294117647058824,0.3333333333333333,0.6143790849673203,0.3333333333333333,0.6682352941176471,0.3333333333333333
5,0.6437908496732027,0.3333333333333333,0.6967474048442907,0.3333333333333333,0.5572204410128901,0.3333333333333333,0.6376050420168068,0.3333333333333333,0.6682352941176471,0.3333333333333333
6,0.7210784313725491,0.3333333333333333,0.722226792815028,0.3333333333333333,0.5863721054032472,0.3333333333333333,0.6369578134284016,0.3333333333333333,0.6751679692856163,0.3333333333333333
7,0.6682352941176471,0.3333333333333333,0.7889473208638292,0.3333333333333333,0.612002376708259,0.3333333333333333,0.6949346405228759,0.3333333333333333,0.673202614379085,0.3333333333333333
8,0.8549019607843137,0.3333333333333333,0.7775490196078433,0.3333333333333333,0.612002376708259,0.3333333333333333,0.7719165085388995,0.3333333333333333,0.9335136353391932,0.3333333333333333
9,0.735258467023173,0.3333333333333333,0.8228969006957622,0.3333333333333333,0.6370798319327731,0.4,0.7723604826546003,0.3333333333333333,0.8050000000000002,0.3333333333333333
10,0.8928104575163399,0.3333333333333333,0.7775490196078433,0.3333333333333333,0.612002376708259,0.3333333333333333,0.776139736291539,0.3333333333333333,0.819964349376114,0.3333333333333333
11,0.8810457516339869,0.1,0.8153554225660486,0.1,0.6721484292641788,0.1,0.8231985598209507,0.1,0.8042232277526395,0.1
12,0.8210784313725491,0.1,0.8171826149814765,0.1,0.6985994397759104,0.1,0.7302246985750822,0.1,0.9335136353391932,0.1
13,0.8700980392156863,0.1,0.8676027830487033,0.1,0.7456582633053221,0.4166666666666666,0.9352690041533854,0.1,0.8905631218004443,0.375
14,0.8214963404716726,0.1,0.8705159483148098,0.1,0.7490196078431373,0.6666666666666666,0.8488479742029439,0.1,0.9070243482008188,0.1
15,0.9013282732447818,0.375,0.9013282732447818,0.1,0.5758513931888545,0.6666666666666666,0.9361344537815124,0.1,0.9661933739012848,0.375
16,0.8540365111561866,0.375,0.8676027830487033,0.1,0.7963314358001264,0.375,0.8485463150777554,0.1,0.9661933739012848,0.1
17,0.9361344537815124,0.375,0.968994494349464,0.1,0.7609388583019415,0.4166666666666666,0.968994494349464,0.1,0.9139057922019383,0.1
18,0.9661933739012848,0.375,1.0,0.1,0.8746585530764031,1.0,0.8529411764705882,0.1,0.8845215505557061,0.1
19,1.0,0.375,0.9013282732447818,0.1,0.7351190476190477,0.375,0.8851540616246498,0.125,0.9661933739012848,0.375
20,0.9137254901960784,0.3333333333333333,1.0,0.1,0.7940136266708275,0.375,0.8851540616246498,0.1,0.8851540616246498,0.1
21,1.0,1.0,0.7744741532976827,1.0,0.8823529411764705,1.0,1.0,1.0,1.0,1.0
22,0.9661933739012848,1.0,0.968994494349464,1.0,0.851782736082939,1.0,0.9662745098039216,1.0,0.9661933739012848,1.0
23,0.9137254901960784,1.0,0.971582836032964,1.0,0.9379520697167756,1.0,1.0,1.0,1.0,1.0
24,0.915212981744422,1.0,0.819964349376114,1.0,0.94161220043573,1.0,1.0,1.0,1.0,1.0
25,0.9661933739012848,1.0,1.0,1.0,0.9661933739012848,1.0,1.0,1.0,0.9137254901960784,1.0
26,0.9215686274509804,1.0,0.819964349376114,1.0,0.971677559912854,1.0,1.0,1.0,0.9661933739012848,1.0
27,0.9661933739012848,1.0,0.9367816091954024,1.0,0.9661933739012848,1.0,0.936436112906701,1.0,0.9137254901960784,1.0
28,0.8523086654016445,1.0,0.7744741532976827,1.0,0.8817204301075269,1.0,1.0,1.0,1.0,1.0
29,0.9361344537815124,1.0,1.0,1.0,0.9661933739012848,1.0,0.968627450980392,1.0,0.8851540616246498,1.0
30,0.884494027496056,1.0,1.0,1.0,0.9661933739012848,1.0,0.971677559912854,1.0,0.9661933739012848,1.0
31,1.0,0.3333333333333333,1.0,0.3333333333333333,0.9661933739012848,0.3333333333333333,0.8529411764705882,0.3333333333333333,0.8845215505557061,0.3333333333333333
32,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.7928543749515616,0.3333333333333333
33,0.9137254901960784,0.3333333333333333,0.9333333333333332,0.3333333333333333,1.0,0.3333333333333333,0.8623529411764707,0.3333333333333333,0.8845215505557061,0.3333333333333333
34,0.9661933739012848,0.3333333333333333,0.9704559484963402,0.3333333333333333,0.9352690041533857,0.6666666666666666,1.0,0.3333333333333333,0.915212981744422,0.3333333333333333
35,0.9137254901960784,0.7333333333333334,0.9367816091954024,0.3333333333333333,0.9361344537815124,0.4,1.0,0.3333333333333333,0.9714285714285712,0.7333333333333334
36,0.9335136353391932,0.7333333333333334,0.7744741532976827,1.0,1.0,0.7333333333333334,0.8851540616246498,0.7333333333333334,0.9215686274509804,0.7333333333333334
37,0.9039215686274508,0.7333333333333334,1.0,1.0,1.0,0.7333333333333334,0.9690756302521008,1.0,0.9361344537815124,0.7333333333333334
38,0.9352690041533854,0.7333333333333334,0.8845215505557061,1.0,0.9019607843137256,0.7333333333333334,0.9662745098039216,1.0,0.915212981744422,1.0
39,0.9661933739012848,0.7333333333333334,0.9367816091954024,0.3333333333333333,1.0,0.7333333333333334,0.9673202614379086,1.0,0.9137254901960784,1.0
40,0.8504901960784315,0.7333333333333334,0.9367816091954024,0.7333333333333334,1.0,0.7333333333333334,1.0,0.3333333333333333,1.0,0.7333333333333334
41,,0.1,,0.125,,0.125,,0.1,,0.125
42,,0.1,,0.1,,0.125,,0.1,,0.125
43,,0.1,,0.1,,0.375,,0.1,,0.125
44,,0.125,,0.375,,0.375,,0.1666666666666666,,0.4166666666666666
45,,0.125,,0.375,,0.375,,0.375,,0.3333333333333333
46,,0.1666666666666666,,0.375,,0.6666666666666666,,0.375,,0.1
47,,0.1666666666666666,,0.375,,0.375,,0.375,,0.375
48,,0.4166666666666666,,0.125,,0.6666666666666666,,0.1,,0.375
49,,0.4166666666666666,,0.375,,0.375,,0.375,,0.375
50,,0.4166666666666666,,0.375,,0.375,,0.6666666666666666,,0.3333333333333333
51,,0.7333333333333334,,0.7333333333333334,,0.3333333333333333,,0.7333333333333334,,0.7333333333333334
52,,1.0,,0.7333333333333334,,0.7333333333333334,,0.7333333333333334,,1.0
53,,1.0,,1.0,,0.7333333333333334,,1.0,,1.0
54,,1.0,,1.0,,0.7333333333333334,,1.0,,1.0
55,,1.0,,1.0,,0.7333333333333334,,0.7333333333333334,,1.0
56,,1.0,,1.0,,0.3333333333333333,,1.0,,0.7333333333333334
57,,1.0,,1.0,,0.7333333333333334,,0.7333333333333334,,1.0
58,,1.0,,1.0,,0.3333333333333333,,1.0,,1.0
59,,1.0,,1.0,,0.7333333333333334,,0.7333333333333334,,0.7333333333333334
60,,1.0,,0.7333333333333334,,0.7333333333333334,,1.0,,1.0
61,,0.3,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
62,,0.5,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
63,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.1,,0.5
64,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
65,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
66,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
67,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
68,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
69,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
70,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428,,0.6428571428571428
71,,0.3333333333333333,,0.5,,0.3333333333333333,,0.5,,0.5
72,,0.7333333333333334,,0.5,,0.3333333333333333,,0.5,,0.5
73,,0.7333333333333334,,0.5,,0.3333333333333333,,0.5,,0.5
74,,0.7333333333333334,,0.5,,0.3333333333333333,,0.5,,0.5
75,,0.5,,0.5,,0.3333333333333333,,0.5,,0.5
76,,0.7333333333333334,,0.5,,0.3333333333333333,,0.5,,0.5
77,,0.5,,0.5,,0.3333333333333333,,0.5,,0.5
78,,0.7333333333333334,,0.5,,0.3333333333333333,,0.5,,0.5
79,,0.7333333333333334,,0.7333333333333334,,0.3333333333333333,,0.5,,0.5
80,,0.7333333333333334,,0.7333333333333334,,0.3333333333333333,,0.5,,0.5
